"","species","read_length","species_sensitivity","species_specificity","species_accuracy","species_precision","genus_sensitivity","genus_specificity","genus_accuracy","genus_precision"
"1262","Tetragenococcus halophilus","150",97.5843205933713,99.9999798774537,99.9827326007309,99.9947451392538,99.3750198990186,99.9999798774537,99.9957331884858,99.9948625738505
"1263","Tetragenococcus halophilus","300",98.4044511653345,99.9999792679299,99.9692598946131,99.9837662337662,99.6362082519329,99.9999373698228,99.9930654335846,99.9669262560717
"1264","Tobacco mosaic virus","75",98.8055197144841,100,99.9856396875945,100,99.0078796255781,100,99.9884081928096,100
"1265","Tobacco mosaic virus","150",99.9995352246327,100,99.9999855686353,100,99.9997620396061,100,99.999992836803,100
"1266","Tobacco mosaic virus","300",99.9989596770838,100,99.9999925888096,100,99.9989596770838,100,99.9999925888096,100
"1267","Treponema sp. OMZ 838","75",26.1695541281815,99.9999639572785,99.7163637102334,99.9741356266909,84.7089619833836,99.9986649853244,99.715735595914,99.664634828336
"1268","Treponema sp. OMZ 838","150",39.3029185388827,99.9998828421787,99.6702914985422,99.9853975021142,89.1239022480557,99.9980050244406,99.7981228321219,99.537696526737
"1269","Treponema sp. OMZ 838","300",50.6286536242734,99.9998707947977,99.8057723254726,99.9592103657624,89.8538827248845,99.9971509581919,99.8119758527345,99.3677992919065
"1270","Treponema vincentii","75",38.1530597720897,99.9997923568635,98.7321213235397,99.8802250606531,98.5092119444581,99.999475566946,99.9674802091042,99.9312065469463
"1271","Treponema vincentii","150",54.0632971099433,99.9997234611194,98.9203994446215,99.9346712925903,99.9491551865811,99.9995460907942,99.9980635047011,99.9577973617768
"1272","Treponema vincentii","300",67.2347647378566,99.9998899816372,99.3220186901438,99.9596372167159,99.9967956543436,99.9996507950943,99.999591647283,99.9590755008525
"1273","Trueperella pyogenes","75",94.2621445858305,100,99.9700621431966,100,96.1241211114301,99.9999832594069,99.9801862042175,99.9915483434753
"1274","Trueperella pyogenes","150",96.2912393392085,99.9999330889853,99.9922146188187,99.948822820208,97.4641367451142,99.9999330889853,99.9946872158372,99.9493910601757
"1275","Trueperella pyogenes","300",96.7981103022976,99.9998610033032,99.9841921902819,99.9167482893695,97.6449102467281,99.9998260657418,99.9875056140137,99.9146485917471
"1276","Tsukamurella pulmonis","75",92.6458416478648,99.99860347796,99.9065280617418,99.8650359113222,96.3432375780202,99.9969162643442,99.9250556653991,99.7009807692376
"1277","Tsukamurella pulmonis","150",98.249490874568,99.9985167043368,99.9772913476116,99.8512211755825,99.3475419428284,99.9952254305045,99.9833357639016,99.5262664170615
"1278","Tsukamurella pulmonis","300",99.4581223007702,99.99871229779,99.9924291656339,99.8497708564653,99.8674965765359,99.9943752144239,99.9920752652472,99.4692590763219
"1279","Tsukamurella tyrosinosolvens","75",91.257142041022,99.9974860843671,99.9336981814411,99.1327832757124,96.3432375780202,99.9969162643442,99.9250556653991,99.7009807692376
"1280","Tsukamurella tyrosinosolvens","150",97.8983263727813,99.9984220197201,99.9828969607785,99.2640791133508,99.3475419428284,99.9952254305045,99.9833357639016,99.5262664170615
"1281","Tsukamurella tyrosinosolvens","300",99.3691060094839,99.9989423573968,99.9946347614754,99.4533390065289,99.8674965765359,99.9943752144239,99.9920752652472,99.4692590763219
"1282","Turicibacter sp. H121","75",17.2831330938639,100,99.3261717993574,100,96.622500234321,99.9999076942411,99.9725540263538,99.9610335609075
"1283","Turicibacter sp. H121","150",26.3450249071096,99.9999827882013,98.5528503896765,99.997866256988,98.9509472929583,99.9991706038448,99.9782347867998,99.870334792828
"1284","Turicibacter sp. H121","300",36.6184579009298,100,99.4810015458686,100,99.3184863196296,99.9997573229011,99.9943556112832,99.901490621766
"1285","unclassified Burkholderia species","75",0,100,99.3081432876178,100,94.5462366416888,99.9958252748915,99.8287793858582,99.8273272426165
"1286","unclassified Burkholderia species","150",0,100,99.3079308495522,100,99.0700536736326,99.9943226841775,99.9657970091151,99.7691295310496
"1287","unclassified Burkholderia species","300",0,100,99.3083417275655,100,99.7845580457573,99.9912174598167,99.9852175374135,99.6400091514638
"1288","unclassified Cytomegalovirus species","75",0,100,98.868981370691,100,16.7348396996261,100,99.0601965073533,100
"1289","unclassified Cytomegalovirus species","150",0,100,98.8682630560648,100,34.5710705049161,100,99.2629258570766,100
"1290","unclassified Cytomegalovirus species","300",0,100,98.8670059521192,100,50.2611959332097,100,99.4295694793041,100
"1291","unclassified Enterobacter species","75",0,100,98.7867892028603,100,89.7792799342242,99.9930881892485,99.8672039110538,98.2870766979027
"1292","unclassified Enterobacter species","150",0,100,98.7839180769375,100,94.8946326909008,99.9942156779564,99.931364822257,98.7812566855159
"1293","unclassified Enterobacter species","300",0,100,98.7819647133928,100,96.4324319116711,99.9912290792749,99.9465972282049,97.8008816715434
"1294","unclassified Parechovirus species","75",0,100,99.5037215869081,100,98.9093112502525,100,99.994587147181,100
"1295","unclassified Parechovirus species","150",0,100,99.883346278155,100,100,100,100,100
"1296","unclassified Parechovirus species","300",0,100,99.5022449704277,100,100,100,100,100
"1297","unclassified Sapovirus species","75",0,100,99.8024308721058,100,99.6702181633688,100,99.9993484529014,100
"1298","unclassified Sapovirus species","150",0,100,99.8655074787663,100,100,100,100,100
