accession_id,total_reads,genus,genus_taxid,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP072373.1,3296,Prevotella,838,3236,996691,13,60,Prevotella denticola,28129,3044,996702,2,252
NZ_CP098483.1,2967,Stenotrophomonas,40323,2910,997033,0,57,Stenotrophomonas maltophilia,40324,1295,997033,0,1672
NZ_CP009709.1,1695,Weizmannia,2817139,0,998305,0,1695,Weizmannia coagulans,1398,939,999244,-939,756
NZ_CP053315.1,1587,Niallia,2837506,1577,998413,0,10,Niallia circulans,1397,1551,998413,0,36
NZ_CP013334.1,2793,Fusobacterium,848,2763,997203,4,30,Fusobacterium hwasookii,1583098,1887,997207,0,906
NZ_CP050497.1,5948,Treponema,157,5944,994050,2,4,Treponema vincentii,69710,3238,994052,0,2710
NZ_CP030280.1,1080,Blautia,572511,1036,998915,5,44,Blautia argi,1912897,1025,998918,2,55
NZ_CP047591.1,2051,Aminipila,2060094,2049,997949,0,2,Aminipila terrae,2697030,2045,997949,0,6
NZ_CP126076.1,54314,Clostridioides,1870884,52269,945674,12,2045,Clostridioides difficile,1496,52249,945674,12,2065
NZ_CP117966.1,1160,Roseburia,841,1091,998839,1,69,Roseburia hominis,301301,1088,998839,1,72
